NodeName,FLOPs,WeightMemory[MB],OutMemory[MB],"Edges[NumTensors, MB]..."
/model.23/cv2.0/cv2.0.1/act/Sigmoid_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.23/cv2.0/cv2.0.0/act/Sigmoid_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.23/cv2.0/cv2.0.0/act/Sigmoid_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.23/cv4.0/cv4.0.0/conv/Conv_output_0_QuantizeLinear,819200.0,4.9999999999999996e-06,0.2048,"(1, 0.2048)"
/model.23/cv4.0/cv4.0.0/conv/Conv_output_0_DequantizeLinear,819200.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)","(1, 0.8192)"
/model.23/cv4.0/cv4.0.0/act/Sigmoid,13107200.0,0,0.8192,"(1, 0.8192)"
/model.23/cv4.0/cv4.0.0/act/Mul,409600.0,0,0.8192,"(1, 0.8192)"
/model.23/cv4.0/cv4.0.0/act/Mul_output_0_QuantizeLinear,819200.0,4.9999999999999996e-06,0.2048,"(1, 0.2048)"
/model.23/cv4.0/cv4.0.0/act/Mul_output_0_DequantizeLinear,819200.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)"
/model.23/cv4.0/cv4.0.1/conv/Conv,118374400.0,0,0.8192,"(1, 0.8192)"
/model.23/cv4.0/cv4.0.1/conv/Conv_output_0_QuantizeLinear,819200.0,4.9999999999999996e-06,0.2048,"(1, 0.2048)"
/model.23/cv4.0/cv4.0.1/conv/Conv_output_0_DequantizeLinear,819200.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)","(1, 0.8192)"
/model.23/cv4.0/cv4.0.1/act/Sigmoid,13107200.0,0,0.8192,"(1, 0.8192)"
/model.23/cv4.0/cv4.0.1/act/Mul,409600.0,0,0.8192,"(1, 0.8192)"
/model.23/cv4.0/cv4.0.1/act/Mul_output_0_QuantizeLinear,819200.0,4.9999999999999996e-06,0.2048,"(1, 0.2048)"
/model.23/cv4.0/cv4.0.1/act/Mul_output_0_DequantizeLinear,819200.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)"
/model.23/cv4.0/cv4.0.2/Conv,13516800.0,0,0.8192,"(1, 0.8192)"
/model.23/cv4.0/cv4.0.2/Conv_output_0_QuantizeLinear,819200.0,4.9999999999999996e-06,0.2048,"(1, 0.2048)"
/model.23/cv4.0/cv4.0.2/Conv_output_0_DequantizeLinear,819200.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)"
/model.23/Reshape,0.0,2.4e-05,0.8192,"(1, 0.8192)"
/model.23/Reshape_output_0_QuantizeLinear,819200.0,4.9999999999999996e-06,0.2048,"(1, 0.2048)"
/model.23/Reshape_output_0_DequantizeLinear,819200.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)"
/model.23/Concat,0.0,0,1.0752,"(1, 1.0752)"
/model.23/cv4.0/cv4.0.1/act/Sigmoid_output_0_QuantizeLinear,819200.0,4.9999999999999996e-06,0.2048,"(1, 0.2048)"
/model.23/cv4.0/cv4.0.1/act/Sigmoid_output_0_DequantizeLinear,819200.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)"
/model.23/cv4.0/cv4.0.0/act/Sigmoid_output_0_QuantizeLinear,819200.0,4.9999999999999996e-06,0.2048,"(1, 0.2048)"
/model.23/cv4.0/cv4.0.0/act/Sigmoid_output_0_DequantizeLinear,819200.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)"
