,/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,Error
240,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02869795821607113
241,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.061100782826542854
242,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3135371431708336
243,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.31057728081941605
244,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.05643628351390362
245,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.31666675209999084
246,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3094630092382431
247,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.05899782478809357
248,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.05665571242570877
249,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.3135554865002632
250,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05237220227718353
251,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.030935543589293957
252,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.05078073590993881
253,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.05647924728691578
254,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.06042220629751682
255,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.318044975399971
